timestamp	step	train/loss
1665095156274	0	8.907305717468262
1665095157649	1	8.90732192993164
1665095159457	2	8.904788970947266
1665095160975	3	8.905865669250488
1665095164763	4	8.90599250793457
1665095166958	5	8.904894828796387
1665095170152	6	8.902724266052246
1665095172202	7	8.898488998413086
1665095174114	8	8.893446922302246
1665095178339	9	8.89072322845459
1665095179700	10	8.883851051330566
1665095181030	11	8.875990867614746
1665095182109	12	8.868608474731445
1665095183162	13	8.8606538772583
1665095184687	14	8.852208137512207
1665095186034	15	8.843250274658203
1665095187108	16	8.833844184875488
1665095188363	17	8.822959899902344
1665095189577	18	8.811184883117676
1665095192984	19	8.799869537353516
1665095193974	20	8.787317276000977
1665095195281	21	8.774218559265137
1665095198303	22	8.761552810668945
1665095199999	23	8.748013496398926
1665095201231	24	8.733440399169922
1665095204953	25	8.718738555908203
1665095206551	26	8.703288078308105
1665095207595	27	8.68702220916748
1665095211424	28	8.671016693115234
1665095212698	29	8.653692245483398
1665095213901	30	8.636054039001465
1665095217010	31	8.6190185546875
1665095220604	32	8.601240158081055
1665095221892	33	8.58260440826416
1665095223332	34	8.56373405456543
1665095226000	35	8.54540729522705
1665095228381	36	8.526447296142578
1665095229883	37	8.507251739501953
1665095232007	38	8.48772144317627
1665095233888	39	8.46824836730957
1665095235311	40	8.448579788208008
1665095236871	41	8.428740501403809
1665095238326	42	8.409011840820312
1665095240609	43	8.38947868347168
1665095241914	44	8.369660377502441
1665095244177	45	8.350052833557129
1665095246060	46	8.330567359924316
1665095247161	47	8.310956001281738
1665095248838	48	8.29157543182373
1665095252828	49	8.272380828857422
1665095256273	50	8.25329875946045
1665095257749	51	8.234381675720215
1665095260009	52	8.215652465820312
1665095261262	53	8.196989059448242
1665095265136	54	8.178706169128418
1665095266318	55	8.160512924194336
1665095267163	56	8.14248275756836
1665095270119	57	8.124905586242676
1665095271164	58	8.107498168945312
1665095272135	59	8.090392112731934
1665095273082	60	8.073464393615723
1665095276461	61	8.056612014770508
1665095277988	62	8.0401029586792
1665095279464	63	8.023916244506836
1665095280464	64	8.00783920288086
1665095283761	65	7.9921135902404785
1665095286288	66	7.9766082763671875
1665095287520	67	7.961385250091553
1665095288704	68	7.9464898109436035
1665095290217	69	7.931737422943115
1665095291760	70	7.917227745056152
1665095293793	71	7.90285062789917
1665095295016	72	7.888817310333252
1665095296489	73	7.8749494552612305
1665095297899	74	7.861310958862305
1665095299893	75	7.847780704498291
1665095302010	76	7.834681034088135
1665095305857	77	7.821712970733643
1665095306854	78	7.809060573577881
1665095308374	79	7.796413421630859
1665095312335	80	7.78386926651001
1665095313572	81	7.771676540374756
1665095314531	82	7.759655952453613
1665095315550	83	7.747883319854736
1665095317823	84	7.73618745803833
1665095321953	85	7.724595069885254
1665095323765	86	7.71312141418457
1665095325896	87	7.701888561248779
1665095327259	88	7.690727233886719
1665095329450	89	7.679763317108154
1665095332269	90	7.669078826904297
1665095333645	91	7.658509731292725
1665095335838	92	7.648060321807861
1665095337599	93	7.637692928314209
1665095340499	94	7.627435207366943
1665095342597	95	7.617292404174805
1665095343873	96	7.607224941253662
1665095344857	97	7.597479820251465
1665095347023	98	7.587753772735596
1665095349951	99	7.577952861785889
1665095351325	100	7.568289756774902
1665095352512	101	7.558847427368164
1665095354130	102	7.5494489669799805
1665095355122	103	7.54029655456543
1665095358683	104	7.531058311462402
1665095362852	105	7.521876335144043
1665095364262	106	7.513023853302002
1665095365824	107	7.5040459632873535
1665095366925	108	7.495154857635498
1665095368272	109	7.486398696899414
1665095372364	110	7.4776387214660645
1665095373519	111	7.468993663787842
1665095376097	112	7.460355758666992
1665095378827	113	7.451877593994141
1665095381487	114	7.443355083465576
1665095385691	115	7.434957504272461
1665095387300	116	7.42659854888916
