step	loss_train
0	8.933277130126953
1	8.930278778076172
2	8.92825698852539
3	8.926395416259766
4	8.926396369934082
5	8.923201560974121
6	8.920087814331055
7	8.916053771972656
8	8.911927223205566
9	8.90679931640625
10	8.899800300598145
11	8.892329216003418
12	8.884855270385742
13	8.876158714294434
14	8.867074966430664
15	8.85694408416748
16	8.846288681030273
17	8.834613800048828
18	8.822501182556152
19	8.80993366241455
20	8.796466827392578
21	8.782426834106445
22	8.767632484436035
23	8.752236366271973
24	8.736076354980469
25	8.719559669494629
26	8.70252799987793
27	8.684821128845215
28	8.666327476501465
29	8.647716522216797
30	8.628747940063477
31	8.609248161315918
32	8.589279174804688
33	8.569167137145996
34	8.548766136169434
35	8.52835464477539
36	8.50766372680664
37	8.4868745803833
38	8.465974807739258
39	8.444944381713867
40	8.424162864685059
41	8.403252601623535
42	8.38270092010498
43	8.361913681030273
44	8.341314315795898
45	8.320984840393066
46	8.300543785095215
47	8.280440330505371
48	8.260699272155762
49	8.240974426269531
50	8.221551895141602
51	8.202433586120605
52	8.18349552154541
53	8.164979934692383
54	8.146474838256836
55	8.128626823425293
56	8.110897064208984
57	8.093355178833008
58	8.076234817504883
59	8.05908489227295
60	8.04219913482666
61	8.025699615478516
62	8.009491920471191
63	7.993368625640869
64	7.9777655601501465
65	7.962207317352295
66	7.946892261505127
67	7.932070732116699
68	7.9174299240112305
69	7.903054237365723
70	7.88866662979126
71	7.874903202056885
72	7.8611159324646
73	7.84761905670166
74	7.834222793579102
75	7.8210768699646
76	7.808106422424316
77	7.795279502868652
78	7.7826948165893555
79	7.7702836990356445
80	7.7581682205200195
81	7.74605131149292
82	7.7341766357421875
83	7.7224273681640625
84	7.711042404174805
85	7.6997389793396
86	7.68875789642334
87	7.677690505981445
88	7.666787147521973
89	7.655962944030762
90	7.6454291343688965
91	7.634951591491699
92	7.62462043762207
93	7.614225387573242
94	7.60421895980835
95	7.594300746917725
96	7.584567546844482
97	7.574764251708984
98	7.565028190612793
99	7.5553812980651855
100	7.545906066894531
101	7.536571979522705
102	7.527346134185791
103	7.518158435821533
104	7.50905179977417
105	7.499899864196777
106	7.490884780883789
107	7.481874942779541
108	7.472967147827148
109	7.464253902435303
110	7.455519676208496
111	7.446831226348877
112	7.438332557678223
113	7.429808139801025
114	7.421281337738037
115	7.412893772125244
116	7.404734134674072
117	7.396426677703857
118	7.388147830963135
119	7.379893779754639
120	7.371781349182129
121	7.3636155128479
122	7.35551643371582
123	7.347406387329102
124	7.339388370513916
125	7.331365585327148
126	7.323550701141357
127	7.315651893615723
128	7.307726860046387
129	7.29981803894043
130	7.2921295166015625
131	7.284409523010254
132	7.276638031005859
133	7.268856048583984
134	7.261117458343506
135	7.253374099731445
136	7.245725631713867
137	7.238096237182617
138	7.2305731773376465
139	7.2229838371276855
140	7.215453147888184
141	7.207895755767822
142	7.200234413146973
143	7.192668437957764
144	7.185189723968506
145	7.177679061889648
146	7.17013692855835
147	7.162684440612793
148	7.155223369598389
149	7.147857189178467
150	7.14039945602417
151	7.132994174957275
152	7.125589370727539
153	7.118263244628906
154	7.110811710357666
155	7.103362083435059
156	7.0960235595703125
157	7.088626861572266
158	7.0813117027282715
159	7.073922634124756
160	7.066502571105957
161	7.059179782867432
162	7.051790237426758
163	7.04440975189209
164	7.037051677703857
165	7.029667377471924
166	7.022249698638916
167	7.014896869659424
168	7.007496356964111
169	7.0000996589660645
170	6.992714881896973
171	6.985221862792969
172	6.977819919586182
173	6.970439910888672
174	6.962985992431641
175	6.955571174621582
176	6.948116779327393
177	6.940667152404785
178	6.933223247528076
179	6.925691604614258
180	6.918256759643555
181	6.910871982574463
182	6.903378486633301
183	6.895898342132568
184	6.8884100914001465
185	6.880880832672119
186	6.873314380645752
187	6.865833759307861
188	6.858338832855225
189	6.850796699523926
190	6.843230247497559
191	6.835644245147705
192	6.828105926513672
193	6.820539474487305
194	6.812992572784424
