step	accuracy_train
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	7.59878457756713e-05
20	0.00024027856125030667
21	0.0004413367132656276
22	0.001104276510886848
23	0.0025519756600260735
24	0.005977169144898653
25	0.011789732612669468
26	0.021984321996569633
27	0.03711903840303421
28	0.05822023004293442
29	0.08113135397434235
30	0.10588324815034866
31	0.13114318251609802
32	0.15561038255691528
33	0.1789601594209671
34	0.20097233355045319
35	0.22197817265987396
36	0.24172262847423553
37	0.26029226183891296
38	0.27776455879211426
39	0.29456061124801636
40	0.31062620878219604
41	0.32604652643203735
42	0.3403288424015045
43	0.35417062044143677
44	0.3674367368221283
45	0.38022497296333313
46	0.39252516627311707
47	0.4042019546031952
48	0.41532614827156067
49	0.426138699054718
50	0.43646132946014404
51	0.4463139772415161
52	0.45585429668426514
53	0.46490761637687683
54	0.4737878143787384
55	0.48209187388420105
56	0.4902360141277313
57	0.49813228845596313
58	0.5056586265563965
59	0.513138473033905
60	0.5203824639320374
61	0.5273168087005615
62	0.5340011119842529
63	0.5405925512313843
64	0.5468237996101379
65	0.5529869794845581
66	0.5589759945869446
67	0.5646446347236633
68	0.570185661315918
69	0.575541079044342
70	0.5809028148651123
71	0.5858762264251709
72	0.5908533334732056
73	0.595656156539917
74	0.6003965139389038
75	0.6049970984458923
76	0.6094881296157837
77	0.6138944625854492
78	0.6181667447090149
79	0.6223439574241638
80	0.6263517737388611
81	0.6303752660751343
82	0.6342582702636719
83	0.6380669474601746
84	0.6416730880737305
85	0.6452385783195496
86	0.6486300826072693
87	0.6520707011222839
88	0.6554221510887146
89	0.6587347388267517
90	0.6618837714195251
91	0.6650001406669617
92	0.6680452227592468
93	0.6711296439170837
94	0.6739957928657532
95	0.6768155097961426
96	0.6795329451560974
97	0.6822936534881592
98	0.6850207448005676
99	0.6877017021179199
100	0.69028240442276
101	0.6927884221076965
102	0.6952322125434875
103	0.6976515650749207
104	0.7000252604484558
105	0.7024227380752563
106	0.7047469019889832
107	0.7070625424385071
108	0.7093199491500854
109	0.7114735841751099
110	0.71363365650177
111	0.7157646417617798
112	0.7177849411964417
113	0.719820499420166
114	0.7218529582023621
115	0.7238062024116516
116	0.72562575340271
117	0.7275252938270569
118	0.7294058799743652
119	0.7312642931938171
120	0.7330411672592163
121	0.7348419427871704
122	0.7365996241569519
123	0.738361656665802
124	0.7400661706924438
125	0.7417654991149902
126	0.7433456778526306
127	0.7449661493301392
128	0.7465966939926147
129	0.7482061982154846
130	0.7496889233589172
131	0.7511818408966064
132	0.7526952028274536
133	0.7542065382003784
134	0.7556866407394409
135	0.757159411907196
136	0.7585720419883728
137	0.7599661350250244
138	0.761295735836029
139	0.7626515626907349
140	0.7639652490615845
141	0.7652857899665833
142	0.7666530609130859
143	0.767957866191864
144	0.769205629825592
145	0.7704614400863647
146	0.7717241644859314
147	0.7729274034500122
148	0.7741252779960632
149	0.7752617001533508
150	0.7764372229576111
151	0.7775746583938599
152	0.7787010669708252
153	0.7797732353210449
154	0.780903697013855
155	0.7820202708244324
156	0.7830655574798584
157	0.7841309905052185
158	0.7851413488388062
159	0.7861800789833069
160	0.7872238159179688
161	0.7882027626037598
162	0.7892066836357117
163	0.7901923060417175
164	0.7911555171012878
165	0.7921193242073059
166	0.7930895686149597
167	0.7940124273300171
168	0.7949485182762146
169	0.7958703637123108
170	0.7967716455459595
171	0.7977198362350464
172	0.7986060380935669
173	0.799466609954834
174	0.8003542423248291
175	0.8012090921401978
176	0.8020715117454529
177	0.8029184937477112
178	0.8037490248680115
179	0.8046133518218994
180	0.8054125905036926
181	0.8061713576316833
182	0.8069748878479004
183	0.8077574372291565
184	0.8085312843322754
185	0.8093129396438599
186	0.8101009726524353
187	0.810829222202301
188	0.8115512132644653
189	0.8122850656509399
190	0.8130174279212952
191	0.8137467503547668
192	0.8144366145133972
193	0.8151270151138306
194	0.8157931566238403
195	0.8164748549461365
196	0.8171834349632263
197	0.8178669214248657
198	0.8184871077537537
199	0.8191356062889099
200	0.8197759389877319
201	0.8204365372657776
202	0.8211117386817932
203	0.8217072486877441
204	0.8223690390586853
205	0.822952389717102
206	0.8235307335853577
207	0.8241038918495178
208	0.8246887922286987
209	0.8252871632575989
210	0.8258916735649109
211	0.8265231251716614
212	0.8271459341049194
213	0.8277579545974731
214	0.8283411860466003
215	0.8289047479629517
216	0.8294369578361511
217	0.8299918174743652
218	0.8305436968803406
219	0.8311281204223633
220	0.8316676020622253
221	0.8321847915649414
222	0.8326854109764099
223	0.8331871032714844
224	0.8337383270263672
225	0.8342527747154236
226	0.8347702622413635
227	0.8353068232536316
228	0.8358301520347595
229	0.8362914323806763
230	0.8368102312088013
231	0.8373038172721863
232	0.8377619981765747
233	0.8382507562637329
234	0.8387573957443237
235	0.839228093624115
236	0.8396996855735779
237	0.8401626348495483
238	0.8406122922897339
239	0.8410791754722595
240	0.8415576219558716
241	0.8420036435127258
242	0.8424504399299622
243	0.8429121971130371
244	0.8433406352996826
245	0.8437672853469849
246	0.8442214727401733
247	0.8446246385574341
248	0.8450682759284973
249	0.845517098903656
250	0.8459535241127014
251	0.8463640213012695
252	0.8467819690704346
253	0.8472124934196472
254	0.8476003408432007
255	0.8479932546615601
256	0.8483980298042297
257	0.8488132357597351
258	0.8492155075073242
259	0.8495979309082031
260	0.8499521017074585
261	0.8503105044364929
262	0.850711464881897
263	0.8510993719100952
264	0.8514856100082397
265	0.8518621325492859
266	0.8522434234619141
267	0.8525686264038086
268	0.8529409766197205
269	0.8533028364181519
270	0.8536434769630432
271	0.8540089726448059
272	0.8543305993080139
273	0.8546965718269348
274	0.8550453782081604
275	0.855384349822998
276	0.8557114601135254
277	0.8560788035392761
278	0.8564047813415527
279	0.8567158579826355
280	0.8570431470870972
281	0.8573744297027588
282	0.8577072024345398
283	0.8580458760261536
284	0.8583683967590332
285	0.8586819767951965
286	0.8589873313903809
287	0.8593007326126099
288	0.8595948815345764
289	0.8598819375038147
290	0.8601856827735901
291	0.8605006337165833
292	0.8608120083808899
293	0.8611347675323486
294	0.8614475131034851
295	0.8617684245109558
296	0.8620636463165283
297	0.8623631596565247
298	0.8626890778541565
299	0.8630023002624512
300	0.8632957339286804
301	0.8635676503181458
302	0.8638584613800049
303	0.8641543388366699
304	0.8644582033157349
305	0.8647603392601013
306	0.8650208711624146
307	0.8652610182762146
308	0.8655396699905396
309	0.8658024668693542
310	0.8660815954208374
311	0.8663498163223267
312	0.8666099905967712
313	0.8668522238731384
314	0.8671178221702576
315	0.8673887848854065
316	0.8676610589027405
317	0.8679163455963135
318	0.868146538734436
319	0.8683961033821106
320	0.8686401844024658
321	0.868884265422821
