timestamp	step	accuracy_train
1672741351545	0	0.0
1672741353557	1	0.0
1672741354758	2	0.0
1672741357582	3	0.0
1672741360339	4	0.0
1672741362036	5	0.0
1672741363286	6	0.0
1672741364483	7	0.0
1672741368493	8	0.0
1672741369649	9	0.0
1672741371505	10	0.0
1672741372915	11	0.0
1672741374710	12	0.0
1672741375810	13	0.0
1672741380021	14	0.0
1672741381059	15	0.0
1672741382885	16	0.0
1672741385410	17	0.0
1672741390050	18	0.0
1672741393256	19	0.0
1672741396584	20	0.0
1672741399353	21	0.0
1672741401510	22	0.0
1672741403652	23	0.0
1672741405779	24	0.0
1672741406885	25	0.0
1672741412050	26	0.0
1672741414999	27	5.019576201448217e-05
1672741416454	28	0.00040922604966908693
1672741419447	29	0.0011087206657975912
1672741421846	30	0.0029383725486695766
1672741426250	31	0.006521754898130894
1672741427590	32	0.014795665629208088
1672741430364	33	0.0272899828851223
1672741431435	34	0.045487795025110245
1672741432610	35	0.06608761847019196
1672741435177	36	0.08725440502166748
1672741439954	37	0.10857386142015457
1672741441571	38	0.12975168228149414
1672741442672	39	0.1499161273241043
1672741444243	40	0.16946911811828613
1672741445956	41	0.188075989484787
1672741447399	42	0.20579148828983307
1672741449163	43	0.22295041382312775
1672741451164	44	0.23919427394866943
1672741455463	45	0.2548366189002991
1672741457752	46	0.2696942985057831
1672741462020	47	0.283909410238266
1672741464846	48	0.29758718609809875
1672741467253	49	0.31064242124557495
1672741469459	50	0.3232603371143341
1672741470876	51	0.3352556824684143
1672741473652	52	0.34686484932899475
1672741474739	53	0.35793203115463257
1672741475906	54	0.3686637580394745
1672741479461	55	0.3791333734989166
1672741481934	56	0.38921213150024414
1672741483134	57	0.39885735511779785
1672741486159	58	0.40823182463645935
1672741489416	59	0.41736406087875366
1672741490596	60	0.4259967505931854
1672741493589	61	0.4344896376132965
1672741495130	62	0.4427485764026642
1672741496531	63	0.45059725642204285
1672741499129	64	0.45841023325920105
1672741500714	65	0.4659249782562256
1672741502299	66	0.47321924567222595
1672741504805	67	0.48019078373908997
1672741506769	68	0.4870012700557709
1672741508083	69	0.4935666620731354
1672741512387	70	0.5000328421592712
1672741514522	71	0.5063814520835876
1672741516375	72	0.5124611258506775
1672741517834	73	0.5183790326118469
1672741519380	74	0.5241174101829529
1672741523562	75	0.5297031402587891
1672741528045	76	0.5351687073707581
1672741530011	77	0.5405225157737732
1672741531232	78	0.5456249117851257
1672741535908	79	0.5506945848464966
1672741539960	80	0.5556747317314148
1672741541890	81	0.5604961514472961
1672741544578	82	0.5652089715003967
1672741547027	83	0.5697271227836609
1672741550009	84	0.574202299118042
1672741552071	85	0.5786532759666443
1672741554652	86	0.5829586386680603
1672741555849	87	0.5871135592460632
1672741557384	88	0.5910819172859192
1672741558820	89	0.5950602293014526
1672741560702	90	0.5989611148834229
1672741562273	91	0.6027693748474121
1672741563837	92	0.6065080761909485
1672741566196	93	0.6101982593536377
1672741568870	94	0.613840639591217
1672741570542	95	0.6173849105834961
1672741571982	96	0.6207832098007202
1672741573749	97	0.6242014765739441
1672741574871	98	0.6273949146270752
1672741577558	99	0.6306674480438232
1672741579745	100	0.6338682770729065
1672741581432	101	0.6370057463645935
1672741583349	102	0.6400806307792664
1672741587702	103	0.6431084275245667
1672741589848	104	0.6460410952568054
1672741590980	105	0.6488712430000305
1672741591937	106	0.6517094373703003
1672741593548	107	0.6544239521026611
1672741596999	108	0.65720134973526
1672741599203	109	0.6598533391952515
1672741602203	110	0.6623823642730713
1672741604719	111	0.6649242043495178
1672741606281	112	0.6675012707710266
1672741608363	113	0.6700441241264343
1672741610774	114	0.6725403666496277
1672741612366	115	0.674954891204834
1672741613611	116	0.6772745251655579
1672741614977	117	0.6795938611030579
1672741615822	118	0.6818053126335144
1672741617202	119	0.6840528845787048
1672741621685	120	0.6863086223602295
1672741623217	121	0.6884921193122864
1672741624442	122	0.6906266212463379
1672741626985	123	0.6927510499954224
1672741628283	124	0.6947563290596008
1672741629415	125	0.6967293620109558
1672741633821	126	0.6987709403038025
1672741635954	127	0.7007393836975098
1672741637439	128	0.7027000188827515
1672741638955	129	0.7046164870262146
1672741640482	130	0.7065102458000183
1672741643750	131	0.7083985805511475
1672741644917	132	0.7101413607597351
1672741647984	133	0.7120053768157959
1672741652068	134	0.7138024568557739
1672741654087	135	0.7155745625495911
1672741655676	136	0.7172711491584778
1672741657361	137	0.718993067741394
1672741662012	138	0.7206820249557495
1672741663950	139	0.7223055362701416
1672741665209	140	0.7238893508911133
1672741666617	141	0.7254886627197266
1672741671397	142	0.7270709872245789
1672741674535	143	0.7286684513092041
1672741676750	144	0.7301700711250305
1672741678710	145	0.7316756844520569
1672741680016	146	0.7331758737564087
1672741682459	147	0.7346237301826477
1672741684032	148	0.73606276512146
1672741684956	149	0.7374337911605835
1672741688282	150	0.7389301657676697
1672741690924	151	0.7403463125228882
1672741692731	152	0.7417183518409729
1672741694531	153	0.743087649345398
1672741696038	154	0.744394063949585
1672741697688	155	0.7456748485565186
1672741700430	156	0.7470043897628784
1672741701596	157	0.7482632398605347
1672741702853	158	0.7495290637016296
1672741705659	159	0.7508201599121094
1672741708530	160	0.7520707249641418
1672741709724	161	0.7532757520675659
1672741710969	162	0.7544597387313843
1672741712744	163	0.7556682825088501
1672741715320	164	0.7568778395652771
1672741716737	165	0.7580551505088806
1672741718263	166	0.7591694593429565
1672741722219	167	0.760285496711731
1672741724847	168	0.7614014744758606
1672741726463	169	0.7625246644020081
1672741727433	170	0.7635507583618164
1672741728863	171	0.7646127939224243
1672741730680	172	0.7656651139259338
1672741732290	173	0.7666772603988647
1672741733549	174	0.7677069902420044
1672741735006	175	0.768707275390625
1672741738949	176	0.769765317440033
1672741740974	177	0.7707765698432922
1672741742315	178	0.7717462182044983
1672741745134	179	0.7727729678153992
1672741746339	180	0.7737322449684143
1672741748847	181	0.7746983766555786
1672741752059	182	0.7756635546684265
1672741753437	183	0.7765971422195435
1672741755087	184	0.7775681018829346
1672741756150	185	0.7784691452980042
1672741758034	186	0.779403030872345
1672741761553	187	0.7803486585617065
1672741763006	188	0.7812305688858032
